family,method,param_name,param_value,payload_bytes,payload_kb,effective_bpp,pixel_accuracy,balanced_accuracy,precision,recall,f1,dice,iou,events
DEO,L0_alert,none,0,90,0.087890625,0.003587372,0.96492316,0.5,0,0,0,0,0,500
DEO,L1_geometry_metrology,geometry,1,1358.76,1.326914063,0.054159758,0.668333147,0.825612885,0.136501253,1,0.226557217,0.226557217,0.136501253,500
DEO,L2_visual_mask_support,support_side,8,1475.722,1.441134766,0.058821827,0.974026118,0.689430181,0.519391033,0.38451032,0.42377205,0.42377205,0.319716976,500
DEO,L2_visual_mask_support,support_side,16,1490.804,1.455863281,0.059422991,0.981102499,0.800585859,0.732718432,0.607286723,0.646729868,0.646729868,0.519108944,500
DEO,L2_visual_mask_support,support_side,24,1512.234,1.476791016,0.060277184,0.985189812,0.85669317,0.795905811,0.719002602,0.746559079,0.746559079,0.624534914,500
DEO,L2_visual_mask_support,support_side,32,1535.962,1.499962891,0.061222975,0.987916006,0.890430733,0.831625263,0.786053689,0.804495789,0.804495789,0.691816309,500
DEO,L2_visual_mask_support,support_side,48,1594.028,1.556667969,0.063537468,0.991088578,0.923103283,0.870102537,0.850383,0.859262111,0.859262111,0.76355043,500
DEO,L2_visual_mask_support,support_side,64,1658.452,1.619582031,0.066105389,0.992947824,0.939539969,0.893857734,0.882556594,0.88791728,0.88791728,0.805209148,500
DEO,L3_residual_refinement,residual_fraction,0,2542.962,2.483361328,0.101361687,0.987916006,0.890430733,0.831625263,0.786053689,0.804495789,0.804495789,0.691816309,500
DEO,L3_residual_refinement,residual_fraction,0.25,3051.778,2.980251953,0.121642937,0.99145751,0.926673434,0.882454794,0.857240023,0.867958961,0.867958961,0.775297439,500
DEO,L3_residual_refinement,residual_fraction,0.5,3441.18,3.360527344,0.137164381,0.994271863,0.953609659,0.917979373,0.910039696,0.91336072,0.91336072,0.844422012,500
DEO,L3_residual_refinement,residual_fraction,0.75,3822.218,3.732634766,0.152352439,0.997127621,0.978833909,0.955506396,0.959245199,0.95722127,0.95722127,0.918974083,500
DEO,L3_residual_refinement,residual_fraction,1,4242.988,4.143542969,0.169124203,1,1,1,1,0.999999999,0.999999999,1,500
Reference,Full_reference_mask,reference,1,25088,24.5,1,1,1,1,1,0.999999999,0.999999999,1,500
