baseline,quality,payload_bytes,payload_kb,effective_bpp,events
Full_JPEG,95,108863.618,106.312126953125,4.339270487882653,500
Full_JPEG,85,65599.75,64.062255859375,2.6147859534438775,500
Full_JPEG,75,50813.03,49.622099609375,2.0253918207908166,500
Full_JPEG,65,43023.708,42.01533984375,1.714911830357143,500
Full_JPEG,50,35914.962,35.073205078125,1.4315593909438775,500
Full_JPEG,35,29625.438,28.931091796875,1.1808608896683672,500
ROI_JPEG,95,46375.644,45.28871484375,1.8485189732142857,500
ROI_JPEG,85,28100.686,27.442076171875,1.1200847417091837,500
ROI_JPEG,75,21829.848,21.3182109375,0.8701310586734694,500
ROI_JPEG,65,18564.932,18.12981640625,0.739992506377551,500
ROI_JPEG,50,15496.078,15.132888671875,0.6176689253826531,500
ROI_JPEG,35,12888.434,12.586361328125,0.5137290338010204,500
